# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	1407
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
ai 	唉	c=1 d=1 t=55
ai qing 	愛情	c=2 d=1.6942 t=421
an 	安	c=2 d=1.29671 t=296
an zhuang 	安裝	c=42 d=11.7425 t=1404
an zhuang dao 	安裝到	c=1 d=1 t=1331
an zhuang xi tong 	安裝系統	c=1 d=1 t=1094
an zhuo 	安卓	c=1 d=1 t=719
ang 	昂	c=1 d=1 t=52
ao 	凹	c=1 d=1 t=54
ba 	吧	c=1 d=1 t=96
ba 	疤	c=2 d=1.97045 t=438
bai du 	百度	c=0 d=0.161854 t=713
bai du mu zhi yi sheng 	百度拇指醫生	c=1 d=1 t=48
bai du qing 	百度輕	c=1 d=1 t=714
bai du shu ru fa 	百度輸入法	c=1 d=1 t=606
ban 	坂	c=1 d=1 t=1367
ban 	版	c=1 d=0.239682 t=1309
ban 	般	c=1 d=1 t=206
ban ben 	版本	c=5 d=2.37821 t=1312
ban ben xuan ze 	版本選擇	c=1 d=1 t=974
ban fa 	辦法	c=1 d=1 t=1286
ban tian 	阪田	c=2 d=1.05156 t=1365
bang 	幫	c=0 d=0.1 t=760
bang zhu 	幫助	c=1 d=1.09501 t=860
bao 	包	c=1 d=1 t=1376
bao chi 	保持	c=1 d=1 t=119
bao cun 	保存	c=1 d=0.36054 t=504
bao cuo 	報錯	c=2 d=1.05502 t=1364
bei fen 	備份	c=0 d=0.173712 t=587
bei fen cha jian 	備份插件	c=1 d=1 t=527
ben di 	本地	c=2 d=1.28083 t=1273
bi ji 	筆記	c=3 d=2.47057 t=1070
bi ji ben 	筆記本	c=2 d=1.11824 t=1170
bi xu 	必須	c=3 d=2.02959 t=257
bi zhi 	壁紙	c=1 d=1 t=1403
bian 	便	c=1 d=1 t=300
bian 	邊	c=1 d=1 t=673
bian de 	變得	c=0 d=0.1 t=284
bian de geng li hai 	變得更厲害	c=1 d=1 t=285
bian ji 	編輯	c=1 d=0.790734 t=573
bian ma 	編碼	c=1 d=1.02297 t=983
bian xiao 	變小	c=1 d=1 t=1152
biao ge 	表格	c=1 d=1 t=1114
biao qian 	標籤	c=1 d=1.02441 t=921
bie 	別	c=1 d=1 t=407
bin 	斌	c=1 d=0.843665 t=1407
bing 	並	c=1 d=1 t=520
bing bu 	並不	c=0 d=0.1 t=73
bing bu shi 	並不是	c=0 d=0.1 t=106
bing bu shi jian rong yi de shi 	並不是件容易的事	c=1 d=1 t=107
bo fang 	播放	c=1 d=1 t=692
bo luo 	剝落	c=1 d=1 t=423
bu 	不	c=9 d=1.82107 t=1378
bu cheng 	不成	c=0 d=0.1 t=380
bu guo 	不過	c=1 d=1 t=377
bu hui 	不會	c=1 d=1 t=301
bu ke xin 	不可信	c=1 d=1 t=1362
bu neng 	不能	c=3 d=1.01435 t=1401
bu neng geng gai 	不能更改	c=1 d=1 t=1402
bu neng qi dong 	不能啓動	c=1 d=1 t=1131
bu neng shu ru 	不能輸入	c=2 d=1.99501 t=888
bu quan 	不全	c=1 d=1 t=561
bu quan 	補全	c=1 d=1 t=562
bu tong 	不同	c=0 d=0.1 t=913
bu yao 	不要	c=1 d=1 t=177
bu yong 	不用	c=1 d=1 t=1199
bu zai 	不再	c=3 d=2.38841 t=405
bu zhi dao 	不知道	c=1 d=1 t=642
ca jian er guo 	擦肩而過	c=1 d=1 t=340
cai 	才	c=2 d=1.96079 t=346
cai dan 	菜單	c=1 d=0.991366 t=902
cai neng 	才能	c=1 d=1 t=897
cang ku 	倉庫	c=1 d=1 t=747
cao zuo 	操作	c=1 d=1 t=825
ce 	側	c=1 d=1 t=672
ce bian lan 	側邊欄	c=1 d=1 t=582
ce lan 	測欄	c=1 d=1 t=670
ce shi 	測試	c=1 d=0.551581 t=990
ce shi su du 	測試速度	c=2 d=1.72615 t=1055
cha 	插	c=2 d=1.38289 t=1249
cha jian 	插件	c=6 d=1.63609 t=1322
cha jian bei fen 	插件備份	c=1 d=1 t=588
cha kan 	查看	c=5 d=2.73301 t=1135
cha ru 	插入	c=1 d=1 t=909
chan 	禪	c=1 d=1 t=137
chan qi 	禪期	c=2 d=1.71177 t=242
chan zuo 	禪坐	c=1 d=1 t=288
chang gui 	常規	c=1 d=1 t=1314
chang qi 	長期	c=0 d=0.1 t=814
chang qi geng xin 	長期更新	c=1 d=1 t=815
chang shi 	嘗試	c=0 d=0.1 t=651
