# Rime user dictionary
#@/db_name	wubi86.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	638
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
a 	工	c=1 d=1 t=537
ad 	基	c=1 d=1 t=272
adf 	苦	c=1 d=1 t=638
adjf 	基旱	c=1 d=1 t=350
adpu 	其实	c=1 d=0.715338 t=638
adw 	其	c=1 d=1 t=611
aig 	薄	c=1 d=1 t=475
ait 	落	c=2 d=1.76721 t=492
ajjf 	昔时	c=1 d=1 t=621
amyy 	英文	c=2 d=1.87372 t=298
avi 	萧	c=1 d=0.882497 t=638
avrq 	切换	c=1 d=1 t=294
awx 	花	c=2 d=1.77492 t=493
ba 	陈	c=1 d=1 t=617
bai 	陈	c=1 d=1 t=619
bdj 	陌	c=1 d=0.891366 t=638
bm 	出	c=2 d=1.88692 t=477
bn 	也	c=3 d=1.04918 t=638
c 	以	c=5 d=1.5813 t=638
cc 	双	c=2 d=1.99501 t=425
cdft 	参考	c=1 d=1 t=340
ce 	能	c=1 d=1 t=543
cff 	圣	c=1 d=1 t=602
d 	在	c=6 d=2.37973 t=638
day 	硭	c=1 d=0.537944 t=638
dcg 	码	c=1 d=1 t=422
dd 	大	c=1 d=0.440432 t=638
dg 	三	c=1 d=1 t=480
dgh 	古	c=1 d=1 t=600
djdh 	悲戚	c=1 d=1 t=516
dmj 	而	c=1 d=1 t=476
drld 	原因	c=1 d=1 t=464
e 	有	c=4 d=1.87758 t=638
eee 	月	c=2 d=1.7827 t=479
et 	用	c=1 d=0.606531 t=638
f 	地	c=3 d=2.86667 t=258
fcb 	却	c=1 d=1 t=542
fcu 	云	c=2 d=1.76721 t=498
fgh 	十	c=1 d=1 t=633
fh 	直	c=3 d=2.34875 t=457
fhn 	起	c=1 d=0.748264 t=638
fhw 	真	c=1 d=0.932394 t=638
fiy 	求	c=1 d=1 t=536
fj 	进	c=1 d=0.427415 t=638
fjj 	亓	c=1 d=1 t=307
fjk 	井	c=1 d=0.88692 t=638
fpg 	壹	c=1 d=0.752014 t=638
fpgo 	过来	c=1 d=0.774916 t=638
fqng 	无情	c=1 d=1 t=487
fqp 	远	c=1 d=1 t=469
fsdf 	无可奈何花落去	c=1 d=0.362402 t=638
ftha 	考虑	c=2 d=0.794534 t=638
ftj 	者	c=1 d=1 t=609
fuj 	境	c=1 d=1 t=550
g 	一	c=4 d=1.07574 t=638
gae 	形	c=1 d=1 t=509
gaqj 	形象	c=1 d=1 t=553
gasm 	开机	c=3 d=2.88589 t=403
gc 	到	c=2 d=0.621885 t=638
gcft 	臻	c=1 d=1 t=547
gcjn 	致电	c=1 d=0.514274 t=638
gdid 	天涯	c=2 d=1.80654 t=471
gf 	于	c=3 d=2.30867 t=596
ggg 	王	c=1 d=1 t=620
gghk 	一点	c=1 d=1 t=251
ggtt 	五笔	c=1 d=0.442639 t=638
gh 	下	c=2 d=0.604467 t=638
gip 	还	c=1 d=1 t=246
gk 	事	c=5 d=1.24942 t=638
gkfh 	逼真	c=1 d=1 t=587
gkng 	事情	c=1 d=0.529935 t=638
gmy 	丽	c=1 d=1 t=525
gn 	与	c=1 d=1 t=499
go 	来	c=1 d=1 t=601
grd 	碧	c=2 d=1.77105 t=495
gu 	平	c=1 d=1 t=623
hkbm 	点出	c=1 d=1 t=463
hv 	眼	c=1 d=1 t=440
hx 	此	c=2 d=1.70117 t=519
i 	不	c=8 d=2.87385 t=638
iaep 	满腔	c=1 d=1 t=472
if 	法	c=1 d=1 t=296
igbw 	清除	c=1 d=1 t=259
iglk 	添加	c=1 d=0.687289 t=638
igus 	清新	c=1 d=1 t=526
ih 	小	c=2 d=1.597 t=638
iii 	水	c=2 d=1.76338 t=490
imde 	没有	c=1 d=0.519442 t=638
ipsr 	赏析	c=1 d=1 t=447
iq 	光	c=1 d=1 t=309
iqpl 	輝	c=1 d=1 t=308
isgg 	酒	c=1 d=1 t=632
iymm 	注册	c=1 d=0.594521 t=638
